,radiant_1,radiant_2,radiant_3,radiant_4,radiant_5,dire_1,dire_2,dire_3,dire_4,dire_5,radiant_win,match_id
144,100,99,47,25,41,64,26,43,93,44,0,3905436563
145,14,94,100,71,12,22,4,77,88,48,1,3905436565
146,97,99,86,101,56,48,100,4,74,45,0,3905436568
147,60,71,81,46,26,95,84,14,34,18,1,3905436569
148,14,4,93,32,12,71,11,2,84,42,0,3905436571
149,41,22,40,21,51,60,90,48,11,7,0,3905436573
150,34,102,67,14,86,12,2,39,7,89,1,3905436575
151,35,20,22,72,19,99,32,104,114,49,0,3905436582
152,113,34,35,96,62,48,64,68,99,93,0,3905436587
153,4,106,34,68,71,14,79,41,8,74,1,3905436589
154,25,39,78,89,109,32,104,44,23,75,0,3905436591
155,18,33,35,39,42,14,73,6,47,59,0,3905436604
156,36,101,21,48,23,114,42,71,11,86,0,3905436605
157,21,26,32,72,6,14,15,106,85,99,1,3905436608
158,28,74,101,76,41,47,68,5,2,12,0,3905436609
159,37,1,14,10,19,100,35,71,106,87,0,3905436612
160,17,31,41,14,67,104,6,105,109,81,1,3905436615
161,70,22,19,75,14,63,74,30,2,58,1,3905436616
162,11,17,32,8,44,4,10,104,2,114,0,3905436623
163,21,22,87,93,50,28,41,79,39,88,0,3905436624
164,113,55,28,1,74,41,84,64,95,54,0,3905436625
165,76,8,7,91,52,23,34,14,49,3,0,3905436626
166,62,17,99,27,104,11,90,31,81,84,0,3905436627
167,17,4,108,53,63,14,86,28,1,6,1,3905436628
168,2,119,22,21,18,42,1,50,34,94,1,3905436631
169,10,30,23,81,47,99,54,22,108,104,0,3905436644
170,114,6,44,73,93,31,41,105,15,97,0,3905436645
171,5,49,70,69,59,44,50,74,16,7,0,3905436647
172,74,5,99,14,48,2,8,26,42,44,1,3905436649
173,105,2,6,74,5,40,94,35,22,44,0,3905436650
174,42,44,75,14,17,91,49,93,100,4,0,3905436652
175,14,23,97,26,12,99,62,41,87,47,1,3905436654
176,8,35,87,10,14,11,4,41,6,1,1,3905436655
177,21,7,11,93,56,23,111,25,83,70,1,3905436656
178,1,119,11,74,93,76,41,112,72,86,0,3905436657
179,22,86,8,7,11,51,27,112,75,1,0,3905436660
180,23,17,88,93,2,114,106,44,30,99,1,3905436661
181,84,14,76,71,93,7,82,119,63,56,0,3905436662
182,34,93,71,102,110,48,10,14,45,25,0,3905436663
183,67,7,30,14,21,12,69,27,74,16,0,3905436666
184,119,14,10,57,17,15,84,28,9,22,0,3905436680
185,22,74,36,4,8,7,39,32,93,6,0,3905436681
186,108,105,69,62,63,106,32,64,95,16,0,3905436684
187,104,99,86,37,94,70,20,22,96,31,0,3905436687
188,30,8,9,35,27,104,21,93,2,25,0,3905436689
189,65,67,23,104,7,96,109,76,1,14,0,3905436693
190,7,5,30,8,11,94,12,108,45,88,0,3905436694
191,86,78,67,14,41,35,36,18,47,11,1,3905436696
192,75,21,17,93,62,18,55,8,101,74,1,3905436697
193,6,26,92,30,99,22,120,14,68,8,1,3905436698
194,31,104,93,62,39,12,88,5,22,69,0,3905436702
195,34,28,8,44,114,47,27,104,4,100,1,3905436704
196,14,54,97,22,74,5,105,44,63,101,0,3905436705
197,21,63,13,101,99,14,75,93,5,95,1,3905436720
198,60,49,17,1,84,67,110,28,29,101,0,3905436722
199,105,21,74,49,22,8,23,6,35,83,0,3905436724
200,64,8,5,84,120,29,106,82,20,53,0,3905436726
201,59,50,98,6,64,71,74,44,42,83,0,3905436727
202,46,44,16,23,10,34,81,99,11,42,0,3905436728
203,32,86,35,84,12,22,81,120,17,62,1,3905436730
204,104,101,74,41,86,93,17,88,37,100,0,3905436731
205,22,10,51,87,88,35,64,6,21,91,1,3905436732
206,17,4,10,119,114,29,22,42,5,76,1,3905436736
207,8,44,86,4,46,22,48,35,14,23,0,3905436738
208,25,19,114,15,119,8,9,22,51,56,0,3905436742
209,7,23,74,4,72,22,64,32,104,12,1,3905436744
210,23,11,34,62,14,1,56,2,35,41,1,3905436746
211,35,18,8,90,104,22,67,48,47,5,0,3905436749
212,11,71,48,79,20,19,23,22,26,2,1,3905436750
213,72,5,43,114,14,67,119,22,38,75,0,3905436751
